"nome_plot";"AF Invest Geraes 30";"ARX Everest Advisory";"AZ Quest Altro Advisory";"Absolute Creta Advisory";"Arx Vinson Advisory";"Atena Yield D30";"Augme 30 Advisory";"Augme 30 II";"BB Asset";"BNP Paribas Match Plus 30 Advisory";"BNP Paribas Rubi";"BOCOM BBM Corporate Credit Plus MULT";"BTG Pactual Crédito Corporativo I";"Bocom BBM Corporate Credit II";"Bradesco Ultra II";"Capitânia Premium 45";"Compass Yield 30";"Daycoval Classic 30";"Ibiuna Credit";"Integral";"Inter Premium";"Iridium Titan Advisory";"JGP Corporate FEEDER II";"JGP Crédito Advisory";"Mag High Grade Plus 30";"Novus Crédito";"Occam Crédito Corporativo 30";"Persevera Yield";"Plural Crédito Corporativo II";"Polo Crédito Corporativo Advisory";"Porto Seguro Ipê";"Principal Claritas";"Riza Lotus Plus Advisory";"Root Capital Crédito HG Plus";"SPX Seahawk Advisory";"Safra Grand Vitesse";"Safra Polaris";"Safra Vitesse";"Selection Light";"Sparta Max Advisory";"Sparta Top";"SulAmérica Crédito Ativo";"SulAmérica Crédito ESG";"Tivio Institucional 15";"Tríade";"Valora Absolute";"Vinland Crédito";"Vinland Crédito 10";"Western Asset Total Credit Plus";"XP Corporate Light";"XP Corporate Plus";"XP Corporate Top"
"AF Invest Geraes 30";"1,000000000000000";"0,720604411949771";"0,852645639736211";"0,485883862349993";"0,783260167877494";"0,566035589356439";"0,8241858609961215";"0,632590226306862";"0,736559723899587";"0,409574166304344";"0,736856239050487";"0,464965876361747";"0,917544956951213";"0,461046146472385";"0,592368695905980";"0,6904757379489840";"0,422940151504732";"0,908861946940669";"0,4826414192246342";"0,811348510204721";"0,892904853289522";"0,8401594389246152";"0,788740399211630";"0,733842302969257";"0,2471231674082513";"0,584649649543245";"0,506709537819299";"0,2743159836442666";"0,804209872477823";"0,7206976868100738";"0,8415562850591987";"0,799748495634715";"0,779485856669727";"0,436079150401810";"0,821146367733522";"0,7772222582496834";"0,693641379807034";"0,8097692544154771";"0,933468965120028";"0,857069296014709";"0,853440196362414";"0,835053831362889";"0,574995100722124";"0,2416787364312169";"0,431490579803456";"0,863124263196959";"0,389968843717422";"0,641197168645471";"0,4672362415430317";"0,918899303058058";"0,840720387685684";"0,930636291166001"
"ARX Everest Advisory";"0,720604411949771";"1,000000000000000";"0,716500190802159";"0,559416325974682";"0,727409395706295";"0,472852057398394";"0,6882982283923151";"0,297983525286553";"0,478081628991173";"0,258112060402209";"0,596584386489016";"0,478878932857444";"0,730820930816008";"0,314034579094072";"0,618892201845578";"0,6221783016322129";"0,395529589574401";"0,729788232118089";"0,4099767572442781";"0,723251771579005";"0,719196926539068";"0,8225317834087915";"0,684053175858072";"0,621416408422215";"0,2358792212842163";"0,415562339530999";"0,388578171220761";"0,3827384266563032";"0,648359149405880";"0,7929090460200274";"0,7295357127589989";"0,681326419724676";"0,386967504940695";"0,517249632837374";"0,704241271720706";"0,6176140638503336";"0,617528965908141";"0,6483173823493401";"0,798359575674272";"0,735885759593141";"0,711273365240424";"0,689687745951460";"0,508101336464244";"0,1843381271745216";"0,588623790079544";"0,774201701574739";"0,377574285759828";"0,638747765117276";"0,1749499447223279";"0,752113698638498";"0,773780576250607";"0,788747914912817"
"AZ Quest Altro Advisory";"0,852645639736211";"0,716500190802159";"1,000000000000000";"0,621133677972840";"0,818560326703492";"0,616465996379996";"0,8406682589217392";"0,743823499757043";"0,764822050234445";"0,626426968919831";"0,840208837470666";"0,726034821001789";"0,827747855671834";"0,635118480494584";"0,661419580714573";"0,6616927585545428";"0,554960880317084";"0,926171177880709";"0,5555274968359755";"0,891668793534539";"0,797239148595322";"0,7511280015511883";"0,915311673040082";"0,900055336113194";"0,1333430528111131";"0,680179023850495";"0,710637819791050";"0,2345856664254256";"0,873195867817804";"0,6782822477615492";"0,9335124110115595";"0,904275121823406";"0,472991582638400";"0,679770941398192";"0,915331205402884";"0,7696896630610395";"0,871422157380776";"0,7847808019342474";"0,921767027382985";"0,906708935620207";"0,922808172922963";"0,868795108305394";"0,697524029091802";"0,2303048229856339";"0,531813339938114";"0,878078161257903";"0,569112427322542";"0,576164940226686";"0,5107843306455730";"0,859018295603558";"0,863510094602573";"0,876683977047446"
"Absolute Creta Advisory";"0,485883862349993";"0,559416325974682";"0,621133677972840";"1,000000000000000";"0,662001514666292";"0,631573645255752";"0,4478578740065522";"0,660104312170690";"0,740281619420284";"0,677057549656656";"0,727854685802528";"0,642116952380302";"0,575940871412081";"0,759762234786296";"0,763869393697631";"0,4286195179176930";"0,655499796552195";"0,522139432363770";"0,5323240303824416";"0,738756700812519";"0,477176921747659";"0,6127284048757897";"0,659762279673746";"0,650281515604567";"0,3800329812830900";"0,807894197720000";"0,796414507432060";"0,4008044606450670";"0,727795569074345";"0,8477149392037563";"0,7368573305465596";"0,745119394736930";"0,363894325965393";"0,823981962007723";"0,640481206150159";"0,7039683014067599";"0,734395407004568";"0,6694291282569605";"0,638202974960447";"0,515283056513127";"0,513054860282339";"0,804085641465921";"0,768829666385049";"0,3858360394544036";"0,771552304341835";"0,743027946016258";"0,866583472841115";"0,806562334769169";"0,5287222869035196";"0,564981588643149";"0,532445810578163";"0,589480768623006"
"Arx Vinson Advisory";"0,783260167877494";"0,727409395706295";"0,818560326703492";"0,662001514666292";"1,000000000000000";"0,329821240312727";"0,7278744744961532";"0,614158382258110";"0,762628940094526";"0,522740530835576";"0,533875717021934";"0,516278369671542";"0,848129927915002";"0,640482945257951";"0,681466732472681";"0,5129745882411098";"0,445455215387083";"0,842831577882097";"0,5707883691592449";"0,754950522741559";"0,777710600124855";"0,8521023876095087";"0,775317775511588";"0,666942658119155";"0,2906537226699412";"0,666372428101140";"0,634509155104002";"0,3011060401827134";"0,719999661838340";"0,5640233849304296";"0,8547471099261079";"0,705890654800206";"0,603011188030546";"0,605331708812474";"0,775269625104373";"0,3727918542163352";"0,676309584083773";"0,4532656412490334";"0,879636515541304";"0,812455417384082";"0,813183583173725";"0,738842964874447";"0,707466707495024";"0,7933496331211197";"0,658430799336619";"0,739965776569902";"0,493583021195020";"0,701045907417927";"0,3990067506342133";"0,864793372529946";"0,651421056055390";"0,887422642484216"
"Atena Yield D30";"0,566035589356439";"0,472852057398394";"0,616465996379996";"0,631573645255752";"0,329821240312727";"1,000000000000000";"0,4867286520038439";"0,369858928432774";"0,525670722648622";"0,537765117213626";"0,631158301422799";"0,450825415204614";"0,577371512452549";"0,664478573527963";"0,732449880969431";"0,4893802217995641";"0,304917759131686";"0,593506855566765";"0,2961470924096193";"0,597034061912239";"0,574308992664979";"0,5801923857716849";"0,526155165577820";"0,523733971679738";"0,4456230334687550";"0,666838297367883";"0,747477097264482";"0,4229322837944629";"0,575677838846471";"0,6295040107540023";"0,6692567651559871";"0,623552386917885";"0,172460841870697";"0,590316737861379";"0,528213558883957";"0,6108061161503843";"0,621602873574033";"0,5938082536183616";"0,597638573953088";"0,544161827654199";"0,537458228573552";"0,605635044884217";"0,416635779719659";"0,1296740400726087";"0,694330902667157";"0,560698350375483";"0,644964982316753";"0,692343549588596";"0,6607952919737620";"0,601053587267392";"0,564559837758742";"0,594197569081692"
"Augme 30 Advisory";"0,824185860996121";"0,688298228392315";"0,840668258921739";"0,447857874006552";"0,727874474496153";"0,486728652003844";"1,0000000000000000";"0,947244902687315";"0,602999853165447";"0,534130336729164";"0,708369293604261";"0,625775697009751";"0,751063717303887";"0,574846373388221";"0,466203899689531";"0,5944102888199908";"0,391844595140082";"0,853383497747631";"0,4389666905826894";"0,687736530845452";"0,785265777649320";"0,6332091894603312";"0,752412898090552";"0,721922627881055";"0,0959798327368847";"0,493163307259324";"0,365813010459515";"0,2462962880733106";"0,717484633563451";"0,5535509285836012";"0,8131402649234535";"0,771464087780433";"0,718870391019528";"0,399094512216739";"0,871240777067317";"0,6397879187260360";"0,733239662186029";"0,6242497389661765";"0,861540252092985";"0,912069506040159";"0,900037326378332";"0,707044592874921";"0,424546686125300";"0,3046124655973851";"0,454383423109658";"0,734915686321489";"0,442221182951800";"0,565815234281420";"0,4252532303244646";"0,770650647095042";"0,820036429963071";"0,813299482723577"
"Augme 30 II";"0,632590226306862";"0,297983525286553";"0,743823499757043";"0,660104312170690";"0,614158382258110";"0,369858928432774";"0,9472449026873150";"1,000000000000000";"0,665991365634603";"0,491844662945109";"0,550064669703575";"0,362444224048569";"0,626894927636393";"0,514505274933945";"0,543441386382800";"0,4735792768920392";"0,510469720230707";"0,501018365007043";"0,4167871506254015";"0,617390205628477";"0,390521478957345";"0,6003075624272439";"0,649940477382560";"0,771330259340070";"0,1943252159581405";"0,534913954704826";"0,588162228028234";"0,1901358314558809";"0,544552407361823";"0,6584909582207293";"0,7628763475280672";"0,443173838308774";"0,343257387484938";"0,767113595061561";"0,744636866010885";"0,4422776240876457";"0,472665624887497";"0,5291153149604289";"0,774252428586713";"0,547919162589693";"0,545788222429823";"0,685191445482102";"0,630183972010797";"0,4177999696013941";"0,516737614256661";"0,679204513897444";"0,740011693758198";"0,596343051208614";"0,4304427806249485";"0,568017841875747";"0,492010576723070";"0,617401245065405"
"BB Asset";"0,736559723899587";"0,478081628991173";"0,764822050234445";"0,740281619420284";"0,762628940094526";"0,525670722648622";"0,6029998531654466";"0,665991365634603";"1,000000000000000";"0,552545997402673";"0,638818584254307";"0,499369532335737";"0,715940390388679";"0,636844790862786";"0,792182304007404";"0,5470764184512381";"0,654330235458453";"0,743494557259867";"0,4528155355892083";"0,757252050174356";"0,589482150916316";"0,6464698028624920";"0,746617909335959";"0,655918317929201";"0,4097045584551260";"0,742588133462089";"0,824316826603229";"0,2339777795524751";"0,753783545782763";"0,6481610854800063";"0,7961951948833161";"0,781822581817078";"0,636808337754758";"0,725100648544437";"0,819883620436050";"0,6343321708411244";"0,678273380509952";"0,6431171047316769";"0,777537921068462";"0,699950656798409";"0,705274673280344";"0,780567182467894";"0,730688338659832";"0,6301878860776945";"0,777478411079616";"0,834548758482445";"0,656523642810999";"0,786967937941247";"0,6681311424772176";"0,717348284168284";"0,535377772952566";"0,716218459327235"
"BNP Paribas Match Plus 30 Advisory";"0,409574166304344";"0,258112060402209";"0,626426968919831";"0,677057549656656";"0,522740530835576";"0,537765117213626";"0,5341303367291637";"0,491844662945109";"0,552545997402673";"1,000000000000000";"0,972859995993885";"0,396044602699522";"0,671731585245277";"0,585575659339588";"0,430853715217132";"0,2222544456952815";"0,677567330945350";"0,595117962951174";"0,4294549739559942";"0,633143106835664";"0,507592941226199";"0,3768978429134922";"0,522673888453663";"0,569924020654636";"0,2810931352118741";"0,640757262983720";"0,708454766685326";"0,5133547584638003";"0,729125918584019";"0,6215658418673988";"0,6337961788658296";"0,651265326911484";"0,238315247136182";"0,735893190194818";"0,534194375959404";"0,6587286813335879";"0,701210087558299";"0,6803533198154198";"0,629001989822908";"0,534256892781610";"0,583907881859761";"0,707042815577615";"0,684826241523694";"0,4256274075289934";"0,502662243726493";"0,570225705570723";"0,793282509537412";"0,628102859505677";"0,3919834627808518";"0,677446735370087";"0,496863072781886";"0,679656989050035"
